duplicate_group_id,duplicate_class,n_rows,n_canonical_rows,group_representative_id,representative_is_canonical_member,n_identity_hashes,n_publications,n_entry_authors,n_log_D_finite,log_D_min,log_D_max,n_model_tier,log_D_spread,metal_states,duplicate_class_reason
DG000777,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15912,True,1,1,1,6,-3.12378,-3.12378,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000797,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16012,True,1,1,1,6,-1.92082,-1.92082,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000884,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16011,True,1,1,1,6,-2.37366,-2.37366,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000949,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15863,True,1,1,1,6,-4.3439,-4.3439,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001009,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15940,True,1,1,1,6,-4.16178,-4.16178,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001183,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15954,True,1,1,1,6,-3.59007,-3.59007,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001263,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16035,True,1,1,1,6,-2.58838,-2.58838,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001356,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15833,True,1,1,1,6,-1.50446,-1.50446,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001378,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15961,True,1,1,1,6,-1.39794,-1.39794,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001431,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15927,True,1,1,1,6,-2.4908,-2.4908,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001433,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15933,True,1,1,1,6,-3.25026,-3.25026,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001486,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16016,True,1,1,1,6,-1.27327,-1.27327,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001500,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15810,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001605,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15884,True,1,1,1,6,-2.8041,-2.8041,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001619,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16005,True,1,1,1,6,-4.23284,-4.23284,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001710,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15832,True,1,1,1,6,-0.90309,-0.90309,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001720,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15942,True,1,1,1,6,-3.63078,-3.63078,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001747,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15997,True,1,1,1,6,-2.70333,-2.70333,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001955,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15885,True,1,1,1,6,-2.56864,-2.56864,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG001988,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15782,True,1,1,1,6,0.531479,0.531479,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002092,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15901,True,1,1,1,6,-1.64782,-1.64782,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002130,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15962,True,1,1,1,6,-1.15864,-1.15864,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002153,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15807,True,1,1,1,6,0.50515,0.50515,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002243,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16039,True,1,1,1,6,-0.761954,-0.761954,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002257,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15909,True,1,1,1,6,-3.6038,-3.6038,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002293,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16020,True,1,1,1,6,-2.74473,-2.74473,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002294,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15827,True,1,1,1,6,0.176091,0.176091,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002541,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16080,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002610,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15978,True,1,1,1,6,-2.75203,-2.75203,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002647,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15965,True,1,1,1,6,-1.01055,-1.01055,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002690,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15993,True,1,1,1,6,-3.88273,-3.88273,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002738,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15956,True,1,1,1,6,-2.72125,-2.72125,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002745,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15792,True,1,1,1,6,-1.52143,-1.52143,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002753,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15849,True,1,1,1,6,-3.65956,-3.65956,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002760,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15793,True,1,1,1,6,-1.05208,-1.05208,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002768,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16044,True,1,1,1,6,-1.44491,-1.44491,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002811,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16007,True,1,1,1,6,-3.31785,-3.31785,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002859,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15837,True,1,1,1,6,-4.48812,-4.48812,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002885,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15921,True,1,1,1,6,-3.52578,-3.52578,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002912,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15936,True,1,1,1,6,-2.33913,-2.33913,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG002925,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15878,True,1,1,1,6,-4.24642,-4.24642,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003027,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15916,True,1,1,1,6,-3.9914,-3.9914,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003038,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15903,True,1,1,1,6,-4.0381,-4.0381,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003058,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16068,True,1,1,1,6,-1.12843,-1.12843,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003110,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15879,True,1,1,1,6,-3.9393,-3.9393,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003200,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16026,True,1,1,1,6,-1.03716,-1.03716,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003242,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15872,True,1,1,1,6,-3.01233,-3.01233,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003253,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15866,True,1,1,1,6,-4.21042,-4.21042,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003258,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15930,True,1,1,1,6,-3.72125,-3.72125,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003288,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15848,True,1,1,1,6,-3.65365,-3.65365,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003345,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15951,True,1,1,1,6,-1.65758,-1.65758,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003346,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15795,True,1,1,1,6,-0.625252,-0.625252,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003387,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15864,True,1,1,1,6,-4.09528,-4.09528,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003412,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15981,True,1,1,1,6,-4.03198,-4.03198,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003440,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15842,True,1,1,1,6,-4.51856,-4.51856,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003447,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15875,True,1,1,1,6,-2.76447,-2.76447,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003499,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15794,True,1,1,1,6,-0.801343,-0.801343,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003530,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15914,True,1,1,1,6,-3.05404,-3.05404,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003684,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15847,True,1,1,1,6,-3.69897,-3.69897,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003697,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15907,True,1,1,1,6,-3.95861,-3.95861,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003734,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15994,True,1,1,1,6,-3.73049,-3.73049,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003759,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15839,True,1,1,1,6,-4.95468,-4.95468,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003881,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15952,True,1,1,1,6,-1.6925,-1.6925,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG003978,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15910,True,1,1,1,6,-3.44249,-3.44249,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004040,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16074,True,1,1,1,6,-1.1349,-1.1349,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004063,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15834,True,1,1,1,6,-2.00966,-2.00966,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004075,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15992,True,1,1,1,6,-4.16431,-4.16431,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004119,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15948,True,1,1,1,6,-2.09313,-2.09313,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004221,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15998,True,1,1,1,6,-2.85387,-2.85387,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004235,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15959,True,1,1,1,6,-2.12843,-2.12843,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004244,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15892,True,1,1,1,6,-3.43652,-3.43652,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004252,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15851,True,1,1,1,6,-4.46471,-4.46471,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004360,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15950,True,1,1,1,6,-1.73755,-1.73755,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004423,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15843,True,1,1,1,6,-4.97469,-4.97469,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004635,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15791,True,1,1,1,6,-1.97062,-1.97062,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004674,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15985,True,1,1,1,6,-3.14086,-3.14086,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004789,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16058,True,1,1,1,6,-1.03339,-1.03339,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG004998,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15809,True,1,1,1,6,0.176091,0.176091,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005022,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15850,True,1,1,1,6,-4.3536,-4.3536,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005277,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15894,True,1,1,1,6,-2.76195,-2.76195,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005307,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16071,True,1,1,1,6,-2.09637,-2.09637,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005333,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15941,True,1,1,1,6,-3.80967,-3.80967,1,0,Ce(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005411,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15923,True,1,1,1,6,-2.9393,-2.9393,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005547,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15983,True,1,1,1,6,-3.14569,-3.14569,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005598,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15828,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005608,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15790,True,1,1,1,6,-0.533132,-0.533132,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005656,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15777,True,1,1,1,6,0,0,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005676,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15787,True,1,1,1,6,-0.853872,-0.853872,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005682,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15861,True,1,1,1,6,-3.09637,-3.09637,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005752,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16046,True,1,1,1,6,-2.03152,-2.03152,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005816,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15908,True,1,1,1,6,-4.00261,-4.00261,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005863,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16079,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005881,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16077,True,1,1,1,6,-0.522879,-0.522879,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005910,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15988,True,1,1,1,6,-2.34294,-2.34294,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005914,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16003,True,1,1,1,6,-1.74715,-1.74715,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005915,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15906,True,1,1,1,6,-3.98716,-3.98716,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG005920,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15913,True,1,1,1,6,-3.1152,-3.1152,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006033,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16025,True,1,1,1,6,-1.27165,-1.27165,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006103,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16021,True,1,1,1,6,-2.32148,-2.32148,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006115,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15957,True,1,1,1,6,-2.17328,-2.17328,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006171,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16024,True,1,1,1,6,-1.767,-1.767,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006226,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15926,True,1,1,1,6,-2.50585,-2.50585,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006234,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15904,True,1,1,1,6,-4.64975,-4.64975,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006240,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15946,True,1,1,1,6,-2.77989,-2.77989,1,0,Gd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006258,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16027,True,1,1,1,6,-0.823909,-0.823909,1,0,Ho(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006259,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15918,True,1,1,1,6,-3.97881,-3.97881,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006329,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15986,True,1,1,1,6,-2.7167,-2.7167,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006412,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15945,True,1,1,1,6,-2.66154,-2.66154,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006449,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15860,True,1,1,1,6,-3.21681,-3.21681,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006466,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16081,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006497,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15931,True,1,1,1,6,-3.25885,-3.25885,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006549,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15873,True,1,1,1,6,-2.87615,-2.87615,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006592,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15925,True,1,1,1,6,-2.5784,-2.5784,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006607,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15934,True,1,1,1,6,-2.74715,-2.74715,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006711,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16047,True,1,1,1,6,-2.07935,-2.07935,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006727,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16015,True,1,1,1,6,-1.33819,-1.33819,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006739,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15915,True,1,1,1,6,-4.25181,-4.25181,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006751,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15857,True,1,1,1,6,-3.77469,-3.77469,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG006943,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16017,True,1,1,1,6,-1.32514,-1.32514,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
