family,half,seed_set,design,stage,contrast,point,margin,verdict,item,name,status,detail,sensitivity_set,sensitivities_not_run,key
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B6 vs B6r0@V5
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,1,point_estimate_at_least_margin,PASS,"Delta=0.095791, margin=0.05",,,M2 vs B3@V1
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,publication_group: percentile low -0.0463125; publication_group: BCa low -0.0493412,,,M2 vs B3@V1
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,publication_group: p=0.1918 (not < 0.05),,,M2 vs B3@V1
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B3@V1
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,5,leave_one_cluster_out_stays_positive,PASS,cluster units ['publication_group'],,,M2 vs B3@V1
secondary designs,selection,discovery,V1,discovery,M2 vs B3,0.095791,0.05,FAIL,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['compilation_doi_groups', 'near_duplicate_key_groups_value_blind', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"compilation_doi_groups, near_duplicate_key_groups_value_blind, sr_iii_dropped_training",M2 vs B3@V1
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=0.0150956, margin=0.05",,,M2 vs B3i@V2
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,metal_state: percentile low -0.0972359; metal_state: BCa low -0.0972359,,,M2 vs B3i@V2
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,metal_state: p=0.8834 (not < 0.05),,,M2 vs B3i@V2
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B3i@V2
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,5,leave_one_cluster_out_stays_positive,FAIL,metal_state: 1 of 4 deltas <= 0 (min -0.0483217),,,M2 vs B3i@V2
secondary designs,selection,discovery,V2,discovery,M2 vs B3i,0.0150956,0.05,FAIL,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring']; not run (addendum 1 item 4): ['sr_iii_dropped_training', 'state_level_hiding']",reduced sensitivity set (addendum 1),"sr_iii_dropped_training, state_level_hiding",M2 vs B3i@V2
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=-0.0989963, margin=0.05",,,M2 vs B3i@V2#all_states
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,metal_state: percentile low -0.267294; metal_state: BCa low -0.321662,,,M2 vs B3i@V2#all_states
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,metal_state: p=0.179 (not < 0.05),,,M2 vs B3i@V2#all_states
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B3i@V2#all_states
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,5,leave_one_cluster_out_stays_positive,FAIL,metal_state: 12 of 12 deltas <= 0 (min -0.126664),,,M2 vs B3i@V2#all_states
exploratory,selection,discovery,V2,discovery,M2 vs B3i,-0.0989963,0.05,FAIL,6,positive_in_every_registered_sensitivity,FAIL,"reduced sensitivity set (addendum 1): acid_grid_rows_excluded: Delta=-0.0975602; censoring_candidates_excluded_scoring: Delta=-0.0968621; not run (addendum 1 item 4): ['sr_iii_dropped_training', 'state_level_hiding']",reduced sensitivity set (addendum 1),"sr_iii_dropped_training, state_level_hiding",M2 vs B3i@V2#all_states
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=-0.192156, margin=0.105689",,,B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,system: percentile low -0.348956; system: BCa low -0.379922; publication_group: percentile low -0.356157; publication_group: BCa low -0.365895,,,B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0.0112; publication_group: p=0.0328,,,B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,FAIL,system: 18 of 18 deltas <= 0 (min -0.212266); publication_group: 27 of 27 deltas <= 0 (min -0.240949),,,B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B3i,-0.192156,0.105689,FAIL,6,positive_in_every_registered_sensitivity,FAIL,"reduced sensitivity set (addendum 1): HNO3_only_cells: Delta=-0.195007; acid_grid_rows_excluded: Delta=-0.192822; censoring_candidates_excluded_scoring: Delta=-0.185213; non_DGA_stratum: Delta=-0.242522; strict_setting: Delta=-0.225451; wildcard_copies_excluded_scoring: Delta=-0.186443; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B6r0 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=0.567022, margin=0.105689",,,B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0; publication_group: p=0,,,B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B6r0 vs B0,0.567022,0.105689,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B6r0 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=0.417126, margin=0.105689",,,B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0; publication_group: p=0,,,B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B3i,0.417126,0.105689,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B5 vs B3i@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=1.1763, margin=0.105689",,,B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0; publication_group: p=0,,,B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,B5 vs B0,1.1763,0.105689,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B5 vs B0@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,1,point_estimate_at_least_margin,PASS,"Delta=0.160213, margin=0.105689",,,FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,publication_group: percentile low -0.0177599; publication_group: BCa low -0.00963455,,,FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,publication_group: p=0.0824 (not < 0.05),,,FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B3i,0.160213,0.105689,FAIL,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",FLAT_CAT vs B3i@V5
exploratory,selection,discovery,V5,discovery,FLAT_CAT vs B0,0.919391,0.105689,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=0.919391, margin=0.105689",,,FLAT_CAT vs B0@V5
